@relation Ambiente3

@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Volante {PARADO,DIREITA,ESQUERDA}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
NENHUM,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
