@relation Ambiente3

@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Volante {PARADO,DIREITA,ESQUERDA}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
TODOS,ESQUERDA,RUIM
TODOS,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
TODOS,ESQUERDA,RUIM
FRONTALDIREITO,DIREITA,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
FRONTAL,PARADO,RUIM
FRONTAL,PARADO,RUIM
DIREITO,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
TODOS,DIREITA,RUIM
TODOS,DIREITA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
TODOS,DIREITA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
TODOS,DIREITA,RUIM
ESQUERDO,ESQUERDA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
ESQUERDO,ESQUERDA,RUIM
TODOS,ESQUERDA,RUIM
TODOS,ESQUERDA,RUIM
FRONTALDIREITO,PARADO,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
TODOS,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
FRONTALDIREITO,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
FRONTALDIREITO,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
ESQUERDO,ESQUERDA,RUIM
FRONTALDIREITO,PARADO,RUIM
DIREITAESQUERDA,DIREITA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
DIREITO,DIREITA,RUIM
TODOS,ESQUERDA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
FRONTALDIREITO,DIREITA,RUIM
TODOS,DIREITA,RUIM
FRONTAL,PARADO,RUIM
TODOS,DIREITA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
TODOS,ESQUERDA,RUIM
FRONTAL,PARADO,RUIM
TODOS,DIREITA,RUIM
ESQUERDO,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
FRONTALDIREITO,DIREITA,RUIM
ESQUERDO,ESQUERDA,RUIM
TODOS,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
FRONTALDIREITO,PARADO,RUIM
ESQUERDO,ESQUERDA,RUIM
ESQUERDO,ESQUERDA,RUIM
FRONTAL,PARADO,RUIM
TODOS,DIREITA,RUIM
FRONTALDIREITO,PARADO,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTAL,PARADO,RUIM
FRONTALDIREITO,PARADO,RUIM
ESQUERDO,ESQUERDA,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
TODOS,DIREITA,RUIM
DIREITO,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
ESQUERDO,ESQUERDA,RUIM
TODOS,DIREITA,RUIM
FRONTALDIREITO,PARADO,RUIM
TODOS,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
FRONTALESQUERDO,ESQUERDA,RUIM
TODOS,ESQUERDA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
FRONTALDIREITO,PARADO,RUIM
DIREITAESQUERDA,DIREITA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALDIREITO,PARADO,RUIM
FRONTALDIREITO,DIREITA,RUIM
TODOS,DIREITA,RUIM
TODOS,ESQUERDA,RUIM
FRONTAL,PARADO,RUIM
DIREITAESQUERDA,DIREITA,RUIM
FRONTALDIREITO,DIREITA,RUIM
ESQUERDO,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
DIREITAESQUERDA,DIREITA,RUIM
TODOS,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
FRONTALESQUERDO,PARADO,RUIM
ESQUERDO,ESQUERDA,RUIM
TODOS,ESQUERDA,RUIM
TODOS,DIREITA,RUIM
FRONTALESQUERDO,PARADO,RUIM
ESQUERDO,ESQUERDA,RUIM
DIREITO,DIREITA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
FRONTAL,PARADO,RUIM
ESQUERDO,ESQUERDA,RUIM
DIREITAESQUERDA,ESQUERDA,RUIM
ESQUERDO,ESQUERDA,RUIM
