@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
AMARELO,PARAR,MEDIO,618,1
VERMELHO,PARAR,MEDIO,425,1
VERMELHO,ACELERAR,RUIM,306,0
VERMELHO,PARAR,MEDIO,691,1
VERDE,ACELERAR,RUIM,172,1
VERMELHO,PARAR,BOM,946,0
VERDE,PARAR,RUIM,38,0
VERDE,FREAR,BOM,786,1
AMARELO,PARAR,MEDIO,718,0
AMARELO,ACELERAR,MEDIO,689,0
VERMELHO,FREAR,MEDIO,559,0
VERDE,PARAR,MEDIO,805,1
VERDE,FREAR,BOM,191,1
VERMELHO,ACELERAR,RUIM,349,1
VERMELHO,FREAR,BOM,111,1
VERDE,FREAR,BOM,291,1
VERMELHO,PARAR,MEDIO,702,1
AMARELO,FREAR,BOM,900,0
AMARELO,ACELERAR,MEDIO,371,0
VERMELHO,PARAR,MEDIO,125,1
VERMELHO,PARAR,BOM,92,0
AMARELO,ACELERAR,MEDIO,404,0
VERMELHO,PARAR,BOM,240,0
VERDE,ACELERAR,RUIM,86,1
VERMELHO,ACELERAR,RUIM,565,1
VERDE,ACELERAR,BOM,651,0
AMARELO,ACELERAR,RUIM,79,1
VERDE,PARAR,MEDIO,988,1
VERDE,FREAR,MEDIO,919,0
AMARELO,FREAR,BOM,757,0
VERDE,FREAR,MEDIO,619,0
VERDE,FREAR,MEDIO,84,0
AMARELO,ACELERAR,MEDIO,296,0
AMARELO,ACELERAR,RUIM,869,1
AMARELO,PARAR,MEDIO,881,0
VERDE,PARAR,RUIM,144,0
AMARELO,ACELERAR,RUIM,146,1
AMARELO,FREAR,BOM,305,1
VERDE,PARAR,MEDIO,382,1
VERDE,PARAR,RUIM,603,0
VERDE,PARAR,MEDIO,849,1
VERDE,FREAR,MEDIO,169,0
AMARELO,FREAR,BOM,315,1
AMARELO,ACELERAR,MEDIO,137,0
VERMELHO,ACELERAR,RUIM,794,0
VERMELHO,FREAR,BOM,678,1
VERDE,ACELERAR,RUIM,890,1
VERDE,PARAR,RUIM,642,0
VERDE,ACELERAR,RUIM,60,1
VERDE,FREAR,MEDIO,134,0
AMARELO,ACELERAR,RUIM,72,1
VERMELHO,ACELERAR,RUIM,351,1
AMARELO,PARAR,MEDIO,601,0
VERMELHO,ACELERAR,RUIM,990,1
VERMELHO,PARAR,BOM,36,0
VERMELHO,FREAR,MEDIO,330,0
VERDE,FREAR,BOM,252,1
AMARELO,ACELERAR,MEDIO,709,0
AMARELO,PARAR,MEDIO,526,0
AMARELO,ACELERAR,MEDIO,41,0
VERDE,ACELERAR,RUIM,716,1
AMARELO,ACELERAR,MEDIO,902,0
VERDE,PARAR,MEDIO,991,1
AMARELO,ACELERAR,MEDIO,378,0
VERMELHO,PARAR,MEDIO,598,1
AMARELO,PARAR,MEDIO,588,0
VERDE,ACELERAR,BOM,502,0
VERMELHO,PARAR,BOM,95,0
VERMELHO,FREAR,MEDIO,61,0
VERMELHO,FREAR,BOM,367,1
VERDE,PARAR,MEDIO,559,1
AMARELO,FREAR,BOM,586,0
VERDE,PARAR,RUIM,404,0
VERDE,ACELERAR,RUIM,228,1
VERDE,FREAR,MEDIO,180,0
AMARELO,PARAR,MEDIO,432,0
