@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
AMARELO,PARAR,MEDIO,398,1
VERMELHO,ACELERAR,RUIM,165,1
VERMELHO,PARAR,MEDIO,272,1
AMARELO,ACELERAR,MEDIO,728,0
VERMELHO,FREAR,MEDIO,906,0
AMARELO,FREAR,BOM,922,1
VERDE,ACELERAR,RUIM,417,1
AMARELO,FREAR,BOM,119,0
VERMELHO,FREAR,MEDIO,467,0
VERDE,FREAR,BOM,774,1
VERDE,FREAR,BOM,281,1
VERDE,FREAR,MEDIO,750,0
VERMELHO,PARAR,BOM,349,0
VERMELHO,ACELERAR,RUIM,523,1
AMARELO,FREAR,BOM,652,1
VERDE,ACELERAR,RUIM,626,1
VERDE,ACELERAR,RUIM,192,1
AMARELO,FREAR,BOM,774,1
AMARELO,ACELERAR,RUIM,396,1
VERDE,ACELERAR,BOM,718,0
VERMELHO,PARAR,BOM,677,0
VERMELHO,ACELERAR,RUIM,388,1
AMARELO,FREAR,BOM,898,1
VERDE,PARAR,RUIM,907,0
VERMELHO,ACELERAR,RUIM,264,1
VERDE,FREAR,MEDIO,317,0
VERDE,ACELERAR,RUIM,725,1
AMARELO,PARAR,MEDIO,736,0
VERDE,FREAR,BOM,7,1
VERMELHO,FREAR,BOM,332,1
VERDE,PARAR,MEDIO,424,1
VERMELHO,FREAR,BOM,91,1
VERDE,ACELERAR,RUIM,656,1
VERMELHO,PARAR,MEDIO,940,1
AMARELO,PARAR,MEDIO,503,0
VERMELHO,FREAR,MEDIO,60,0
AMARELO,ACELERAR,MEDIO,925,0
VERMELHO,FREAR,MEDIO,418,0
VERMELHO,ACELERAR,RUIM,496,1
VERDE,ACELERAR,RUIM,911,1
AMARELO,ACELERAR,RUIM,730,1
AMARELO,FREAR,BOM,200,0
VERDE,PARAR,MEDIO,13,1
VERMELHO,FREAR,MEDIO,57,0
VERMELHO,ACELERAR,RUIM,436,0
VERDE,PARAR,MEDIO,119,1
VERMELHO,FREAR,BOM,943,1
VERDE,PARAR,RUIM,144,0
VERMELHO,PARAR,BOM,674,0
AMARELO,FREAR,BOM,786,1
VERDE,FREAR,BOM,611,1
VERDE,PARAR,MEDIO,182,1
VERMELHO,PARAR,BOM,406,0
VERDE,FREAR,MEDIO,504,0
VERMELHO,ACELERAR,RUIM,639,0
VERDE,ACELERAR,RUIM,406,1
VERMELHO,PARAR,BOM,547,0
VERMELHO,ACELERAR,RUIM,321,0
VERMELHO,FREAR,MEDIO,468,0
VERDE,ACELERAR,BOM,428,0
VERMELHO,PARAR,BOM,504,0
VERMELHO,FREAR,BOM,119,1
VERMELHO,PARAR,MEDIO,180,1
AMARELO,ACELERAR,MEDIO,615,0
VERMELHO,ACELERAR,RUIM,986,1
VERMELHO,ACELERAR,RUIM,654,1
VERDE,PARAR,RUIM,924,0
VERDE,PARAR,MEDIO,785,1
VERMELHO,PARAR,BOM,900,0
VERMELHO,ACELERAR,RUIM,754,1
VERDE,PARAR,RUIM,898,0
VERMELHO,PARAR,MEDIO,964,1
AMARELO,PARAR,MEDIO,177,0
VERDE,ACELERAR,BOM,278,0
VERMELHO,PARAR,MEDIO,15,1
AMARELO,FREAR,BOM,301,1
VERMELHO,PARAR,MEDIO,199,1
VERMELHO,FREAR,BOM,10,1
VERMELHO,ACELERAR,RUIM,556,0
VERMELHO,FREAR,BOM,764,1
AMARELO,FREAR,BOM,549,0
VERDE,PARAR,MEDIO,962,1
VERDE,PARAR,RUIM,999,0
VERDE,PARAR,RUIM,224,0
VERDE,PARAR,MEDIO,860,1
VERDE,PARAR,MEDIO,516,1
VERDE,FREAR,MEDIO,270,0
AMARELO,PARAR,MEDIO,838,0
VERMELHO,ACELERAR,RUIM,775,0
AMARELO,FREAR,BOM,417,1
VERDE,PARAR,MEDIO,633,1
VERDE,ACELERAR,BOM,377,0
VERMELHO,ACELERAR,RUIM,581,1
AMARELO,ACELERAR,RUIM,346,1
VERDE,FREAR,BOM,307,1
AMARELO,ACELERAR,MEDIO,289,0
VERMELHO,FREAR,BOM,685,1
VERMELHO,PARAR,BOM,651,0
AMARELO,FREAR,BOM,960,1
VERDE,PARAR,MEDIO,48,1
VERMELHO,PARAR,BOM,504,0
AMARELO,PARAR,MEDIO,362,1
VERMELHO,ACELERAR,RUIM,471,0
AMARELO,PARAR,MEDIO,207,1
AMARELO,PARAR,MEDIO,938,1
VERMELHO,ACELERAR,RUIM,799,0
VERDE,PARAR,RUIM,767,0
VERMELHO,ACELERAR,RUIM,819,1
AMARELO,FREAR,BOM,919,0
VERDE,FREAR,MEDIO,636,0
AMARELO,FREAR,BOM,605,0
VERDE,PARAR,RUIM,773,0
AMARELO,FREAR,BOM,136,0
VERDE,ACELERAR,BOM,21,0
VERDE,PARAR,MEDIO,659,1
VERMELHO,ACELERAR,RUIM,676,1
VERMELHO,PARAR,BOM,950,0
VERDE,PARAR,RUIM,200,0
VERDE,ACELERAR,RUIM,296,1
VERDE,FREAR,BOM,411,1
VERMELHO,ACELERAR,RUIM,596,1
AMARELO,PARAR,MEDIO,644,1
VERMELHO,PARAR,MEDIO,597,1
VERDE,FREAR,MEDIO,240,0
VERMELHO,PARAR,BOM,648,0
VERMELHO,PARAR,MEDIO,93,1
VERMELHO,FREAR,MEDIO,349,0
VERMELHO,ACELERAR,RUIM,777,0
VERMELHO,ACELERAR,RUIM,417,0
VERMELHO,PARAR,BOM,868,0
VERMELHO,FREAR,MEDIO,587,0
VERMELHO,FREAR,BOM,696,1
AMARELO,ACELERAR,MEDIO,81,0
VERMELHO,PARAR,MEDIO,914,1
VERMELHO,PARAR,BOM,998,0
VERDE,ACELERAR,RUIM,879,1
VERMELHO,PARAR,BOM,330,0
VERDE,ACELERAR,RUIM,980,1
VERMELHO,FREAR,MEDIO,263,0
VERDE,FREAR,MEDIO,795,0
VERMELHO,PARAR,MEDIO,220,1
VERDE,ACELERAR,RUIM,183,1
AMARELO,FREAR,BOM,79,0
VERDE,PARAR,MEDIO,315,1
VERMELHO,FREAR,MEDIO,964,0
