@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
VERDE,PARAR,MEDIO,745,1
VERDE,PARAR,MEDIO,123,1
AMARELO,ACELERAR,MEDIO,906,0
VERMELHO,ACELERAR,RUIM,573,1
VERDE,PARAR,RUIM,61,0
VERDE,ACELERAR,RUIM,707,1
VERDE,ACELERAR,BOM,606,0
VERDE,PARAR,RUIM,834,0
VERDE,PARAR,MEDIO,867,1
VERDE,FREAR,BOM,672,1
VERMELHO,PARAR,BOM,887,0
VERMELHO,PARAR,BOM,493,0
AMARELO,FREAR,BOM,337,1
AMARELO,ACELERAR,MEDIO,844,0
VERMELHO,ACELERAR,RUIM,824,1
VERMELHO,FREAR,MEDIO,539,0
VERDE,FREAR,MEDIO,565,0
AMARELO,PARAR,MEDIO,524,1
VERDE,PARAR,MEDIO,317,1
AMARELO,FREAR,BOM,903,1
VERDE,PARAR,MEDIO,738,1
VERDE,ACELERAR,BOM,877,0
AMARELO,PARAR,MEDIO,749,1
AMARELO,PARAR,MEDIO,475,1
AMARELO,FREAR,BOM,595,1
AMARELO,PARAR,MEDIO,768,1
VERMELHO,ACELERAR,RUIM,665,1
VERMELHO,ACELERAR,RUIM,827,1
AMARELO,PARAR,MEDIO,253,0
AMARELO,PARAR,MEDIO,613,0
VERDE,ACELERAR,RUIM,138,1
VERMELHO,FREAR,MEDIO,80,0
VERMELHO,ACELERAR,RUIM,223,0
VERDE,FREAR,MEDIO,274,0
VERDE,PARAR,RUIM,421,0
AMARELO,ACELERAR,MEDIO,385,0
VERMELHO,PARAR,BOM,116,0
AMARELO,FREAR,BOM,268,0
AMARELO,ACELERAR,RUIM,745,1
AMARELO,FREAR,BOM,658,0
VERDE,PARAR,MEDIO,487,1
VERDE,ACELERAR,RUIM,435,1
VERDE,FREAR,BOM,382,1
VERMELHO,ACELERAR,RUIM,400,1
AMARELO,PARAR,MEDIO,836,1
VERDE,PARAR,MEDIO,400,1
AMARELO,FREAR,BOM,23,0
VERDE,PARAR,MEDIO,90,1
VERDE,ACELERAR,RUIM,412,1
VERMELHO,PARAR,MEDIO,185,1
AMARELO,FREAR,BOM,104,1
AMARELO,ACELERAR,MEDIO,568,0
VERDE,PARAR,MEDIO,847,1
VERDE,FREAR,MEDIO,410,0
AMARELO,ACELERAR,MEDIO,910,0
VERDE,ACELERAR,BOM,85,0
AMARELO,FREAR,BOM,562,0
VERDE,PARAR,MEDIO,924,1
AMARELO,PARAR,MEDIO,188,0
VERMELHO,FREAR,BOM,863,1
VERMELHO,FREAR,BOM,786,1
VERDE,FREAR,BOM,609,1
VERDE,FREAR,BOM,603,1
VERMELHO,PARAR,BOM,173,0
AMARELO,FREAR,BOM,270,1
VERMELHO,PARAR,BOM,613,0
VERMELHO,FREAR,BOM,327,1
