@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
VERMELHO,FREAR,BOM,621,1
AMARELO,ACELERAR,RUIM,128,1
VERMELHO,PARAR,BOM,417,0
VERDE,ACELERAR,RUIM,299,1
AMARELO,FREAR,BOM,863,1
VERMELHO,ACELERAR,RUIM,552,1
VERMELHO,PARAR,BOM,584,0
VERMELHO,ACELERAR,RUIM,982,0
AMARELO,FREAR,BOM,166,1
VERMELHO,ACELERAR,RUIM,474,1
AMARELO,FREAR,BOM,97,0
VERDE,FREAR,BOM,499,1
VERMELHO,FREAR,MEDIO,297,0
AMARELO,FREAR,BOM,511,0
AMARELO,ACELERAR,MEDIO,678,0
VERDE,ACELERAR,BOM,745,0
AMARELO,ACELERAR,RUIM,576,1
VERDE,FREAR,BOM,987,1
VERDE,ACELERAR,RUIM,611,1
VERDE,FREAR,BOM,511,1
VERMELHO,ACELERAR,RUIM,234,0
VERDE,PARAR,MEDIO,269,1
VERMELHO,PARAR,MEDIO,782,1
VERDE,ACELERAR,RUIM,25,1
AMARELO,ACELERAR,MEDIO,508,0
VERDE,FREAR,MEDIO,756,0
VERMELHO,FREAR,BOM,938,1
VERMELHO,PARAR,MEDIO,500,1
AMARELO,FREAR,BOM,972,1
AMARELO,FREAR,BOM,690,1
AMARELO,FREAR,BOM,639,0
AMARELO,PARAR,MEDIO,992,1
VERMELHO,ACELERAR,RUIM,312,1
VERDE,ACELERAR,BOM,916,0
VERMELHO,PARAR,MEDIO,258,1
VERMELHO,PARAR,MEDIO,292,1
VERDE,ACELERAR,RUIM,555,1
AMARELO,PARAR,MEDIO,374,0
AMARELO,ACELERAR,MEDIO,305,0
AMARELO,PARAR,MEDIO,395,1
VERDE,PARAR,MEDIO,831,1
VERMELHO,PARAR,BOM,970,0
VERMELHO,ACELERAR,RUIM,590,1
VERMELHO,PARAR,MEDIO,164,1
VERDE,FREAR,BOM,42,1
VERMELHO,ACELERAR,RUIM,680,1
AMARELO,ACELERAR,RUIM,434,1
VERMELHO,FREAR,BOM,164,1
VERDE,PARAR,RUIM,371,0
VERMELHO,PARAR,MEDIO,885,1
VERMELHO,FREAR,MEDIO,170,0
VERDE,ACELERAR,BOM,645,0
VERDE,PARAR,RUIM,292,0
VERDE,ACELERAR,RUIM,687,1
VERDE,ACELERAR,RUIM,253,1
VERDE,PARAR,RUIM,249,0
AMARELO,ACELERAR,RUIM,369,1
VERMELHO,ACELERAR,RUIM,334,0
VERDE,FREAR,BOM,426,1
VERMELHO,PARAR,MEDIO,70,1
AMARELO,FREAR,BOM,335,1
AMARELO,ACELERAR,RUIM,627,1
AMARELO,ACELERAR,RUIM,460,1
VERDE,ACELERAR,RUIM,634,1
AMARELO,FREAR,BOM,156,1
AMARELO,FREAR,BOM,891,0
VERMELHO,ACELERAR,RUIM,953,1
VERMELHO,PARAR,MEDIO,854,1
VERDE,FREAR,BOM,155,1
AMARELO,PARAR,MEDIO,940,1
VERDE,FREAR,BOM,549,1
VERMELHO,PARAR,MEDIO,822,1
AMARELO,PARAR,MEDIO,528,0
VERDE,ACELERAR,BOM,293,0
VERMELHO,FREAR,BOM,322,1
VERDE,ACELERAR,RUIM,470,1
VERMELHO,ACELERAR,RUIM,927,1
VERMELHO,PARAR,MEDIO,200,1
VERMELHO,FREAR,MEDIO,473,0
VERMELHO,FREAR,MEDIO,501,0
VERMELHO,FREAR,MEDIO,951,0
VERDE,ACELERAR,RUIM,962,1
VERMELHO,PARAR,BOM,632,0
VERDE,FREAR,MEDIO,612,0
VERDE,PARAR,RUIM,508,0
VERMELHO,PARAR,MEDIO,376,1
VERMELHO,PARAR,BOM,277,0
AMARELO,FREAR,BOM,614,1
VERDE,ACELERAR,BOM,807,0
VERDE,ACELERAR,BOM,899,0
AMARELO,PARAR,MEDIO,521,1
AMARELO,PARAR,MEDIO,544,1
AMARELO,FREAR,BOM,46,1
AMARELO,ACELERAR,MEDIO,60,0
VERDE,PARAR,RUIM,85,0
VERMELHO,ACELERAR,RUIM,994,0
AMARELO,ACELERAR,RUIM,841,1
VERDE,ACELERAR,BOM,222,0
VERMELHO,FREAR,BOM,246,1
VERDE,ACELERAR,RUIM,466,1
AMARELO,PARAR,MEDIO,65,0
VERDE,ACELERAR,RUIM,9,1
AMARELO,ACELERAR,MEDIO,51,0
AMARELO,FREAR,BOM,254,1
AMARELO,PARAR,MEDIO,17,0
VERMELHO,FREAR,MEDIO,268,0
VERDE,PARAR,MEDIO,876,1
VERMELHO,FREAR,MEDIO,825,0
VERMELHO,ACELERAR,RUIM,736,1
VERDE,ACELERAR,RUIM,905,1
AMARELO,ACELERAR,RUIM,643,1
VERDE,PARAR,RUIM,468,0
VERMELHO,ACELERAR,RUIM,636,1
VERMELHO,PARAR,MEDIO,3,1
AMARELO,PARAR,MEDIO,109,1
VERMELHO,ACELERAR,RUIM,653,1
VERDE,ACELERAR,RUIM,959,1
AMARELO,ACELERAR,MEDIO,578,0
AMARELO,FREAR,BOM,129,0
VERMELHO,ACELERAR,RUIM,473,1
VERDE,ACELERAR,BOM,189,0
VERMELHO,FREAR,MEDIO,132,0
AMARELO,PARAR,MEDIO,414,0
VERDE,FREAR,MEDIO,741,0
AMARELO,PARAR,MEDIO,530,1
VERDE,PARAR,MEDIO,612,1
AMARELO,FREAR,BOM,392,1
VERMELHO,PARAR,BOM,15,0
VERDE,PARAR,RUIM,838,0
VERMELHO,PARAR,BOM,69,0
VERDE,ACELERAR,BOM,914,0
VERDE,PARAR,MEDIO,896,1
AMARELO,PARAR,MEDIO,27,1
AMARELO,ACELERAR,RUIM,294,1
VERDE,ACELERAR,RUIM,980,1
VERMELHO,FREAR,BOM,596,1
AMARELO,ACELERAR,MEDIO,108,0
AMARELO,PARAR,MEDIO,334,0
VERDE,ACELERAR,RUIM,213,1
VERMELHO,FREAR,BOM,103,1
VERDE,ACELERAR,BOM,470,0
VERDE,ACELERAR,BOM,816,0
VERDE,PARAR,RUIM,607,0
VERMELHO,ACELERAR,RUIM,24,0
AMARELO,FREAR,BOM,10,1
VERMELHO,ACELERAR,RUIM,592,0
AMARELO,ACELERAR,MEDIO,121,0
AMARELO,FREAR,BOM,944,1
VERDE,ACELERAR,RUIM,592,1
VERDE,FREAR,BOM,754,1
VERMELHO,ACELERAR,RUIM,959,1
VERDE,FREAR,MEDIO,122,0
AMARELO,FREAR,BOM,499,1
VERMELHO,ACELERAR,RUIM,424,1
AMARELO,FREAR,BOM,370,0
VERMELHO,PARAR,MEDIO,939,1
VERDE,PARAR,RUIM,794,0
VERDE,ACELERAR,RUIM,659,1
VERDE,FREAR,MEDIO,254,0
VERMELHO,FREAR,MEDIO,570,0
AMARELO,FREAR,BOM,596,1
AMARELO,PARAR,MEDIO,127,1
AMARELO,PARAR,MEDIO,509,0
VERDE,ACELERAR,RUIM,664,1
VERMELHO,PARAR,MEDIO,753,1
AMARELO,PARAR,MEDIO,226,1
VERMELHO,FREAR,BOM,767,1
VERDE,PARAR,RUIM,599,0
VERDE,FREAR,MEDIO,543,0
AMARELO,ACELERAR,RUIM,317,1
AMARELO,PARAR,MEDIO,700,1
VERDE,PARAR,MEDIO,158,1
VERDE,FREAR,MEDIO,609,0
AMARELO,ACELERAR,RUIM,88,1
VERDE,FREAR,BOM,430,1
VERDE,FREAR,BOM,74,1
AMARELO,PARAR,MEDIO,688,1
VERMELHO,PARAR,MEDIO,104,1
VERDE,PARAR,RUIM,859,0
VERMELHO,PARAR,MEDIO,636,1
AMARELO,PARAR,MEDIO,653,1
VERMELHO,ACELERAR,RUIM,699,0
VERDE,PARAR,MEDIO,800,1
AMARELO,PARAR,MEDIO,240,1
VERMELHO,ACELERAR,RUIM,563,0
VERMELHO,FREAR,MEDIO,984,0
AMARELO,FREAR,BOM,981,1
VERMELHO,FREAR,BOM,499,1
VERMELHO,PARAR,BOM,751,0
VERDE,FREAR,BOM,786,1
VERDE,FREAR,MEDIO,582,0
VERMELHO,ACELERAR,RUIM,11,0
VERMELHO,PARAR,MEDIO,346,1
VERDE,ACELERAR,RUIM,901,1
VERMELHO,FREAR,BOM,846,1
VERDE,PARAR,MEDIO,9,1
VERMELHO,ACELERAR,RUIM,645,0
AMARELO,PARAR,MEDIO,879,0
VERMELHO,PARAR,BOM,445,0
AMARELO,FREAR,BOM,584,0
VERMELHO,PARAR,MEDIO,986,1
AMARELO,PARAR,MEDIO,695,1
VERDE,PARAR,RUIM,650,0
VERMELHO,PARAR,BOM,78,0
VERMELHO,ACELERAR,RUIM,417,0
VERMELHO,FREAR,MEDIO,735,0
VERMELHO,PARAR,BOM,848,0
AMARELO,ACELERAR,MEDIO,241,0
AMARELO,FREAR,BOM,111,0
VERDE,ACELERAR,RUIM,148,1
VERMELHO,ACELERAR,RUIM,68,0
AMARELO,FREAR,BOM,626,1
VERMELHO,ACELERAR,RUIM,454,1
VERMELHO,ACELERAR,RUIM,675,1
VERDE,ACELERAR,RUIM,51,1
AMARELO,ACELERAR,MEDIO,612,0
AMARELO,PARAR,MEDIO,306,1
VERDE,PARAR,MEDIO,92,1
VERMELHO,PARAR,BOM,335,0
AMARELO,PARAR,MEDIO,572,1
AMARELO,PARAR,MEDIO,377,1
VERDE,FREAR,BOM,561,1
VERMELHO,ACELERAR,RUIM,289,1
VERMELHO,PARAR,BOM,225,0
AMARELO,FREAR,BOM,121,1
VERDE,ACELERAR,BOM,71,0
VERMELHO,ACELERAR,RUIM,222,0
AMARELO,FREAR,BOM,292,1
AMARELO,PARAR,MEDIO,829,1
AMARELO,PARAR,MEDIO,498,0
VERDE,PARAR,MEDIO,358,1
VERMELHO,PARAR,MEDIO,495,1
VERMELHO,ACELERAR,RUIM,847,1
AMARELO,FREAR,BOM,660,1
AMARELO,FREAR,BOM,359,0
VERMELHO,PARAR,MEDIO,232,1
VERDE,FREAR,BOM,29,1
AMARELO,PARAR,MEDIO,582,0
AMARELO,ACELERAR,RUIM,324,1
AMARELO,FREAR,BOM,318,1
VERMELHO,ACELERAR,RUIM,782,0
VERDE,ACELERAR,RUIM,83,1
VERDE,ACELERAR,RUIM,835,1
VERMELHO,PARAR,BOM,10,0
VERDE,ACELERAR,BOM,988,0
VERMELHO,FREAR,MEDIO,290,0
VERMELHO,ACELERAR,RUIM,601,1
AMARELO,FREAR,BOM,94,1
VERDE,PARAR,RUIM,163,0
VERMELHO,FREAR,BOM,83,1
AMARELO,FREAR,BOM,95,0
VERMELHO,PARAR,BOM,895,0
VERMELHO,PARAR,BOM,263,0
VERDE,ACELERAR,RUIM,464,1
VERMELHO,ACELERAR,RUIM,623,1
AMARELO,PARAR,MEDIO,901,1
VERMELHO,PARAR,BOM,329,0
VERMELHO,PARAR,MEDIO,996,1
VERDE,FREAR,MEDIO,725,0
VERMELHO,ACELERAR,RUIM,784,0
VERMELHO,FREAR,MEDIO,761,0
AMARELO,PARAR,MEDIO,310,0
VERMELHO,PARAR,BOM,969,0
AMARELO,PARAR,MEDIO,147,1
VERMELHO,FREAR,MEDIO,379,0
VERMELHO,ACELERAR,RUIM,157,0
AMARELO,FREAR,BOM,282,0
AMARELO,FREAR,BOM,636,0
AMARELO,ACELERAR,RUIM,637,1
VERDE,PARAR,RUIM,284,0
VERDE,ACELERAR,BOM,147,0
VERDE,PARAR,RUIM,345,0
VERMELHO,PARAR,BOM,238,0
AMARELO,PARAR,MEDIO,526,0
VERDE,ACELERAR,BOM,537,0
VERMELHO,PARAR,MEDIO,971,1
AMARELO,FREAR,BOM,215,1
AMARELO,PARAR,MEDIO,169,0
VERDE,FREAR,MEDIO,137,0
VERMELHO,FREAR,MEDIO,565,0
VERDE,FREAR,MEDIO,916,0
VERDE,FREAR,BOM,726,1
VERMELHO,PARAR,MEDIO,549,1
VERDE,ACELERAR,RUIM,788,1
VERMELHO,FREAR,BOM,842,1
VERDE,ACELERAR,BOM,374,0
VERMELHO,FREAR,BOM,895,1
VERDE,PARAR,MEDIO,702,1
AMARELO,FREAR,BOM,1,0
AMARELO,FREAR,BOM,557,1
VERDE,PARAR,MEDIO,682,1
VERMELHO,ACELERAR,RUIM,430,1
VERMELHO,FREAR,MEDIO,738,0
VERDE,ACELERAR,BOM,465,0
AMARELO,FREAR,BOM,751,0
AMARELO,ACELERAR,RUIM,461,1
VERDE,PARAR,MEDIO,689,1
VERDE,ACELERAR,BOM,818,0
VERDE,PARAR,RUIM,252,0
VERDE,FREAR,MEDIO,233,0
VERDE,FREAR,BOM,699,1
AMARELO,FREAR,BOM,746,1
VERDE,ACELERAR,BOM,253,0
VERMELHO,FREAR,MEDIO,585,0
AMARELO,PARAR,MEDIO,223,1
VERMELHO,FREAR,MEDIO,749,0
VERMELHO,PARAR,BOM,918,0
VERDE,PARAR,MEDIO,174,1
AMARELO,ACELERAR,MEDIO,799,0
AMARELO,PARAR,MEDIO,352,1
AMARELO,PARAR,MEDIO,149,0
VERMELHO,PARAR,MEDIO,17,1
AMARELO,ACELERAR,MEDIO,166,0
AMARELO,ACELERAR,MEDIO,325,0
AMARELO,PARAR,MEDIO,458,1
VERDE,PARAR,MEDIO,954,1
VERMELHO,ACELERAR,RUIM,226,0
VERMELHO,FREAR,MEDIO,844,0
VERMELHO,PARAR,MEDIO,938,1
VERMELHO,ACELERAR,RUIM,469,1
VERMELHO,PARAR,BOM,898,0
AMARELO,ACELERAR,RUIM,721,1
VERMELHO,FREAR,BOM,390,1
AMARELO,PARAR,MEDIO,926,1
AMARELO,PARAR,MEDIO,968,1
VERDE,ACELERAR,BOM,75,0
VERMELHO,PARAR,BOM,167,0
VERMELHO,PARAR,BOM,477,0
