@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
VERDE,PARAR,RUIM,460,0
VERMELHO,ACELERAR,RUIM,967,1
VERMELHO,PARAR,MEDIO,491,1
AMARELO,ACELERAR,RUIM,344,1
VERMELHO,FREAR,MEDIO,613,0
VERMELHO,PARAR,MEDIO,578,1
AMARELO,FREAR,BOM,40,0
VERDE,ACELERAR,BOM,674,0
VERDE,FREAR,MEDIO,436,0
AMARELO,PARAR,MEDIO,611,0
AMARELO,FREAR,BOM,683,1
VERMELHO,ACELERAR,RUIM,116,1
VERMELHO,ACELERAR,RUIM,901,0
AMARELO,ACELERAR,RUIM,25,1
VERMELHO,FREAR,MEDIO,451,0
VERDE,FREAR,BOM,380,1
VERMELHO,PARAR,MEDIO,246,1
VERMELHO,ACELERAR,RUIM,15,1
AMARELO,ACELERAR,RUIM,275,1
VERDE,PARAR,MEDIO,336,1
VERDE,ACELERAR,RUIM,902,1
VERDE,FREAR,MEDIO,352,0
AMARELO,ACELERAR,MEDIO,288,0
VERMELHO,FREAR,BOM,777,1
AMARELO,PARAR,MEDIO,134,0
VERMELHO,PARAR,MEDIO,203,1
VERDE,PARAR,MEDIO,680,1
VERMELHO,FREAR,BOM,2,1
VERMELHO,PARAR,MEDIO,34,1
VERDE,FREAR,BOM,766,1
VERMELHO,PARAR,BOM,434,0
VERDE,ACELERAR,RUIM,471,1
AMARELO,PARAR,MEDIO,319,1
VERDE,FREAR,MEDIO,493,0
AMARELO,ACELERAR,MEDIO,739,0
VERMELHO,ACELERAR,RUIM,41,0
VERDE,FREAR,BOM,293,1
AMARELO,ACELERAR,RUIM,755,1
AMARELO,FREAR,BOM,270,0
VERDE,FREAR,BOM,696,1
VERMELHO,ACELERAR,RUIM,741,0
VERDE,PARAR,MEDIO,702,1
AMARELO,ACELERAR,MEDIO,49,0
VERDE,FREAR,MEDIO,150,0
VERMELHO,PARAR,BOM,75,0
VERMELHO,FREAR,BOM,510,1
VERMELHO,FREAR,BOM,669,1
VERMELHO,PARAR,BOM,465,0
VERDE,ACELERAR,RUIM,83,1
VERMELHO,PARAR,MEDIO,365,1
VERDE,FREAR,MEDIO,509,0
VERMELHO,FREAR,MEDIO,64,0
VERDE,ACELERAR,RUIM,870,1
VERDE,FREAR,MEDIO,319,0
VERDE,ACELERAR,BOM,213,0
VERDE,PARAR,RUIM,147,0
AMARELO,PARAR,MEDIO,389,1
VERMELHO,PARAR,BOM,202,0
VERDE,ACELERAR,BOM,707,0
VERDE,PARAR,RUIM,998,0
VERMELHO,ACELERAR,RUIM,684,0
VERMELHO,ACELERAR,RUIM,869,1
AMARELO,PARAR,MEDIO,424,1
VERMELHO,ACELERAR,RUIM,118,0
VERDE,ACELERAR,RUIM,383,1
AMARELO,PARAR,MEDIO,243,1
VERMELHO,FREAR,MEDIO,998,0
VERMELHO,FREAR,BOM,128,1
VERMELHO,ACELERAR,RUIM,78,0
VERDE,ACELERAR,BOM,776,0
AMARELO,ACELERAR,MEDIO,33,0
VERDE,PARAR,MEDIO,303,1
VERDE,FREAR,BOM,475,1
VERMELHO,PARAR,BOM,481,0
VERMELHO,ACELERAR,RUIM,849,1
VERMELHO,PARAR,MEDIO,574,1
VERDE,PARAR,MEDIO,417,1
AMARELO,ACELERAR,MEDIO,231,0
AMARELO,PARAR,MEDIO,14,0
AMARELO,PARAR,MEDIO,936,0
VERDE,PARAR,MEDIO,917,1
VERDE,PARAR,MEDIO,115,1
VERDE,PARAR,MEDIO,137,1
VERDE,PARAR,RUIM,398,0
VERDE,PARAR,RUIM,848,0
VERDE,ACELERAR,BOM,409,0
VERMELHO,ACELERAR,RUIM,912,0
VERMELHO,PARAR,MEDIO,376,1
VERMELHO,PARAR,MEDIO,481,1
VERDE,ACELERAR,BOM,896,0
AMARELO,FREAR,BOM,289,0
