@relation Ambiente

@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Acao {ACELERAR,FREAR,PARAR}

@data
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,FRONTALESQUERDO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,AMARELO,TODOS,ACELERAR
RUIM,VERMELHO,ESQUERDO,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,FRONTALDIREITO,ACELERAR
RUIM,VERMELHO,TODOS,ACELERAR
RUIM,VERDE,FRONTALDIREITO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERDE,DIREITO,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERDE,FRONTAL,PARAR
RUIM,VERMELHO,FRONTALESQUERDO,ACELERAR
RUIM,VERMELHO,FRONTAL,ACELERAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,DIREITAESQUERDA,PARAR
RUIM,VERDE,TODOS,ACELERAR
RUIM,VERDE,ESQUERDO,PARAR
RUIM,VERMELHO,DIREITO,ACELERAR
RUIM,VERMELHO,DIREITAESQUERDA,ACELERAR
RUIM,VERMELHO,FRONTAL,ACELERAR
